model,negation_type,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,sample_size,p_value,significance,abs_p_value,abs_significance
llama,verbal,85.0,55.00000000000001,-28.941283885714384,29.999999999999993,29.999999999999993,30.0,20,0.014305878435429647,*,,n/a
llama,lexical,87.5,75.0,-12.137550331389457,12.5,12.5,12.5,24,0.08326451666355039,.,,n/a
llama,double,66.66666666666666,66.66666666666666,0.0,0.0,0.0,26.666666666666668,15,1.0,ns,,n/a
llama,approximate,80.64516129032258,77.41935483870968,-3.075126314254453,3.225806451612897,3.225806451612897,22.58064516129032,31,0.7054569861112734,ns,,n/a
llama,absolute,62.5,87.5,22.44850021680094,25.0,25.0,25.0,8,0.5,ns,,n/a
deepseek-r1-deepseek,verbal,90.0,65.0,-24.42803136799156,25.0,25.0,25.0,20,0.025347318677468256,*,,n/a
deepseek-r1-deepseek,lexical,95.83333333333334,87.5,-8.25631914294162,8.333333333333343,8.333333333333343,16.666666666666664,24,0.31731050786291415,ns,,n/a
deepseek-r1-deepseek,double,66.66666666666666,73.33333333333333,6.079695803147733,6.666666666666671,6.666666666666671,33.33333333333333,15,0.6547208460185769,ns,,n/a
deepseek-r1-deepseek,approximate,74.19354838709677,70.96774193548387,-3.0167195841666397,3.225806451612897,3.225806451612897,35.483870967741936,31,0.763024600552995,ns,,n/a
deepseek-r1-deepseek,absolute,75.0,50.0,-23.43826579239625,25.0,25.0,50.0,8,0.625,ns,,n/a
claude,verbal,85.0,60.0,-24.117736571428658,25.0,25.0,35.0,20,0.05878172135535887,.,,n/a
claude,lexical,91.66666666666666,83.33333333333334,-8.175880996294149,8.333333333333314,8.333333333333314,16.666666666666664,24,0.31731050786291415,ns,,n/a
claude,double,66.66666666666666,66.66666666666666,0.0,0.0,0.0,13.333333333333334,15,1.0,ns,,n/a
claude,approximate,67.74193548387096,77.41935483870968,8.85898839144991,9.677419354838719,9.677419354838719,29.03225806451613,31,0.31731050786291415,ns,,n/a
claude,absolute,87.5,87.5,0.0,0.0,0.0,25.0,8,1.0,ns,,n/a
gpt-5-standard,verbal,85.0,70.0,-14.470641942857196,15.0,15.0,25.0,20,0.17971249487899976,ns,,n/a
gpt-5-standard,lexical,95.83333333333334,87.5,-8.25631914294162,8.333333333333343,8.333333333333343,16.666666666666664,24,0.31731050786291415,ns,,n/a
gpt-5-standard,double,80.0,73.33333333333333,-6.34363328997315,6.666666666666671,6.666666666666671,20.0,15,0.5637028616507731,ns,,n/a
gpt-5-standard,approximate,77.41935483870968,67.74193548387096,-9.139594586503234,9.677419354838719,9.677419354838719,29.03225806451613,31,0.31731050786291415,ns,,n/a
gpt-5-standard,absolute,87.5,100.0,12.137550331389457,12.5,12.5,12.5,8,1.0,ns,,n/a
gpt-5-standard-context-aware,verbal,85.0,70.0,-14.470641942857196,15.0,15.0,15.0,20,0.08326451666355039,.,,n/a
gpt-5-standard-context-aware,lexical,91.66666666666666,87.5,-4.087940498147074,4.166666666666657,4.166666666666657,20.833333333333336,24,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,double,73.33333333333333,80.0,6.217671420341817,6.666666666666671,6.666666666666671,6.666666666666667,15,0.31731050786291415,ns,,n/a
gpt-5-standard-context-aware,approximate,80.64516129032258,70.96774193548387,-9.225378942763374,9.677419354838705,9.677419354838705,29.03225806451613,31,0.31731050786291415,ns,,n/a
gpt-5-standard-context-aware,absolute,87.5,87.5,0.0,0.0,0.0,25.0,8,1.0,ns,,n/a
gpt4o,verbal,90.0,60.0,-29.313637641589875,30.0,30.0,30.0,20,0.014305878435429647,*,,n/a
gpt4o,lexical,83.33333333333334,79.16666666666666,-4.001705737400799,4.166666666666686,4.166666666666686,12.5,24,0.5637028616507731,ns,,n/a
gpt4o,double,73.33333333333333,66.66666666666666,-6.217671420341817,6.666666666666671,6.666666666666671,20.0,15,0.5637028616507731,ns,,n/a
gpt4o,approximate,77.41935483870968,64.51612903225806,-12.186126115337636,12.903225806451616,12.903225806451616,25.806451612903224,31,0.15729920705028505,ns,,n/a
gpt4o,absolute,87.5,100.0,12.137550331389457,12.5,12.5,12.5,8,1.0,ns,,n/a
