model,negation_type,original_mean_f1,modified_mean_f1,weighted_delta,absolute_change,rate_of_change,unrobustness,sample_size,p_value,significance,abs_p_value,abs_significance
llama,verbal,52.1318072683619,51.70612184267647,-0.3654728141377581,0.42568542568542966,0.42568542568542966,1.0028860028860034,28,1.0,ns,,n/a
llama,lexical,51.45330160036042,51.593161740220566,0.11967924806544951,0.13986013986014711,0.13986013986014711,0.1398601398601403,26,0.31731050786291415,ns,,n/a
llama,double,45.7312925170068,48.19160997732426,2.042326101609607,2.4603174603174622,2.4603174603174622,5.317460317460318,14,0.5929800980174267,ns,,n/a
llama,approximate,48.826530612244895,41.445578231292515,-6.231944268932307,7.38095238095238,7.38095238095238,7.38095238095238,14,0.10880943004054569,ns,,n/a
llama,absolute,49.376705227545564,48.97653000594176,-0.33885279228587567,0.4001752216038028,0.4001752216038028,10.47284065141208,28,0.8657723749926214,ns,,n/a
deepseek-r1-deepseek,verbal,44.230262280350736,60.84767240229424,13.673798060672995,16.617410121943507,16.617410121943507,17.12761420357617,28,0.0028626683936041146,**,,n/a
deepseek-r1-deepseek,lexical,37.11976963524951,50.59329057066613,10.574054748538936,13.473520935416616,13.473520935416616,15.513048051152364,26,0.0229090993543566,*,,n/a
deepseek-r1-deepseek,double,44.800393841747216,48.900226757369616,3.3849898037212647,4.0998329156224,4.0998329156224,12.646198830409356,14,0.7353166906373405,ns,,n/a
deepseek-r1-deepseek,approximate,44.81292517006803,50.72867608581894,4.884645272816791,5.9157509157509125,5.9157509157509125,9.696493982208267,14,0.4003808031520797,ns,,n/a
deepseek-r1-deepseek,absolute,42.00804005812851,53.3091220171052,9.172706359235187,11.301081958976695,11.301081958976695,17.05080425005237,28,0.09052124460534798,.,,n/a
gpt-5-standard,verbal,56.4650732087707,60.62890540831717,3.647058767812144,4.163832199546476,4.163832199546476,10.428004535147393,28,0.4838398513935682,ns,,n/a
gpt-5-standard,lexical,52.51794208807783,58.87254901960784,5.46593961723866,6.354606931530007,6.354606931530007,10.898140321217245,26,0.2626182904425206,ns,,n/a
gpt-5-standard,double,59.93894993894993,56.873582766439895,-2.7246656052069596,3.0653671725100367,3.0653671725100367,7.146999825571256,14,0.5001842570707944,ns,,n/a
gpt-5-standard,approximate,55.71428571428571,70.23809523809523,12.679042927112707,14.523809523809518,14.523809523809518,15.476190476190476,14,0.07961580146011343,.,,n/a
gpt-5-standard,absolute,54.662352120335306,51.509879592862774,-2.7390073378750373,3.1524725274725327,3.1524725274725327,9.422313797313796,28,0.33256561496743764,ns,,n/a
gpt-5-standard-context-aware,verbal,58.90554939924688,62.4484793917567,3.135769765539428,3.542929992509819,3.542929992509819,7.443464565313306,28,0.3454475304692257,ns,,n/a
gpt-5-standard-context-aware,lexical,53.35127542141117,55.246714070243485,1.6368485088778633,1.895438648832318,1.895438648832318,3.5074917540980888,26,0.4652088184521418,ns,,n/a
gpt-5-standard-context-aware,double,58.39133089133089,61.56593406593406,2.803727577892943,3.1746031746031704,3.1746031746031704,6.349206349206351,14,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,approximate,54.37074829931972,56.434240362811785,1.7904562724239794,2.0634920634920633,2.0634920634920633,7.4603174603174605,14,0.6547208460185769,ns,,n/a
gpt-5-standard-context-aware,absolute,55.69126368496116,60.05639416851269,3.8102941840557896,4.365130483551532,4.365130483551532,11.893372917809009,28,0.5939546753269146,ns,,n/a
claude,verbal,47.83913565426171,46.48526077097506,-1.137108226083918,1.3538748832866503,1.3538748832866503,6.1157796451914095,28,0.5929800980174267,ns,,n/a
claude,lexical,48.185735832794656,45.018315018315015,-2.6652555356653047,3.167420814479641,3.167420814479641,3.1674208144796383,26,0.31731050786291415,ns,,n/a
claude,double,43.8095238095238,46.98412698412698,2.60566433747879,3.1746031746031775,3.1746031746031775,6.349206349206349,14,0.6547208460185769,ns,,n/a
claude,approximate,43.8095238095238,48.57142857142856,3.908496506218179,4.761904761904759,4.761904761904759,4.761904761904762,14,0.31731050786291415,ns,,n/a
claude,absolute,46.27450980392156,46.17246898759503,-0.08496641973837446,0.10204081632652873,0.10204081632652873,0.5782312925170062,28,0.6547208460185769,ns,,n/a
gpt4o,verbal,52.27507669734562,50.55249372476264,-1.4799525776884879,1.7225829725829769,1.7225829725829769,11.932333539476398,28,0.8886378608950078,ns,,n/a
gpt4o,lexical,51.766321913380736,53.532056179115,1.5132760330347268,1.7657342657342667,1.7657342657342667,3.234265734265734,26,0.4652088184521418,ns,,n/a
gpt4o,double,48.70181405895691,57.03514739229025,7.031438075998854,8.333333333333336,8.333333333333336,9.126984126984125,14,0.14412703481601533,ns,,n/a
gpt4o,approximate,49.57482993197278,53.027210884353735,2.926343795092142,3.452380952380956,3.452380952380956,5.833333333333333,14,0.28504940740261275,ns,,n/a
gpt4o,absolute,49.996165132719746,44.61402742915349,-4.571955617902834,5.382137703566258,5.382137703566258,9.979643372500513,28,0.3742593192802244,ns,,n/a
